Timestamp,Voltage_V,Current_A,Power_W,Power_Factor,Season,Time_of_Day,Delta_I,Anomaly_Duration_min,Label
2024-01-01 00:00:00,233.675,1.503,321.618,0.8398,Winter,Night,0.051,0,Normal
2024-01-01 00:30:00,242.725,1.081,230.333,0.88,Winter,Night,0.299,0,Normal
2024-01-01 01:00:00,229.085,1.799,397.845,0.8979,Winter,Night,0.372,0,Normal
2024-01-01 01:30:00,194.329,2.12,266.701,0.9397,Winter,Night,0.265,0,Normal
2024-01-01 02:00:00,216.927,1.755,293.586,0.8188,Winter,Night,0.017,87,Normal
2024-01-01 02:30:00,223.056,1.974,368.878,0.7337,Winter,Night,0.913,61,Abnormal
2024-01-01 03:00:00,194.647,0.166,26.296,0.7676,Winter,Night,1.533,0,Abnormal
2024-01-01 03:30:00,228.448,0.748,189.88,0.8316,Winter,Night,0.019,0,Normal
2024-01-01 04:00:00,218.869,1.875,362.348,0.877,Winter,Night,0.208,69,Normal
2024-01-01 04:30:00,240.763,0.446,71.02,0.9444,Winter,Night,1.241,0,Normal
2024-01-01 05:00:00,223.868,1.981,362.582,0.826,Winter,Night,0.362,0,Normal
2024-01-01 05:30:00,207.18,2.359,495.708,0.8165,Winter,Night,0.42,41,Abnormal
2024-01-01 06:00:00,221.234,2.136,407.894,0.8247,Winter,Morning,0.087,0,Normal
2024-01-01 06:30:00,218.241,1.701,233.776,0.8976,Winter,Morning,0.193,0,Normal
2024-01-01 07:00:00,220.1,1.907,238.169,0.9573,Winter,Morning,2.424,0,Normal
2024-01-01 07:30:00,215.838,2.95,361.861,0.9077,Winter,Morning,0.082,83,Normal
2024-01-01 08:00:00,239.925,1.862,396.155,0.848,Winter,Morning,0.164,0,Normal
2024-01-01 08:30:00,229.321,2.542,377.978,0.9142,Winter,Morning,0.015,0,Normal
2024-01-01 09:00:00,229.785,2.652,658.417,0.8588,Winter,Morning,0.086,0,Normal
2024-01-01 09:30:00,199.53,2.496,245.236,0.821,Winter,Morning,0.259,29,Normal
2024-01-01 10:00:00,222.979,1.751,371.889,0.8615,Winter,Morning,0.173,0,Normal
2024-01-01 10:30:00,248.014,1.182,192.305,0.8866,Winter,Morning,0.121,0,Normal
2024-01-01 11:00:00,229.011,4.01,877.028,0.8728,Winter,Morning,0.061,0,Normal
2024-01-01 11:30:00,221.06,1.562,182.458,0.8714,Winter,Morning,0.345,0,Normal
2024-01-01 12:00:00,202.444,0.821,144.208,0.8404,Winter,Afternoon,0.129,0,Normal
2024-01-01 12:30:00,207.755,2.37,343.68,0.8709,Winter,Afternoon,0.059,4,Normal
2024-01-01 13:00:00,238.051,1.735,332.334,0.8392,Winter,Afternoon,0.243,50,Abnormal
2024-01-01 13:30:00,218.138,2.223,503.292,0.8319,Winter,Afternoon,0.259,0,Normal
2024-01-01 14:00:00,247.29,1.75,350.908,0.8353,Winter,Afternoon,0.273,77,Normal
2024-01-01 14:30:00,220.491,2.451,319.051,0.9092,Winter,Afternoon,0.164,62,Normal
2024-01-01 15:00:00,219.738,0.968,100.406,0.8043,Winter,Afternoon,0.179,26,Normal
2024-01-01 15:30:00,228.846,2.029,345.132,0.7849,Winter,Afternoon,0.204,0,Normal
2024-01-01 16:00:00,207.632,0.529,105.777,0.8194,Winter,Afternoon,0.098,57,Normal
2024-01-01 16:30:00,230.575,1.635,390.365,0.9053,Winter,Afternoon,0.313,0,Normal
2024-01-01 17:00:00,248.597,2.76,505.667,0.8417,Winter,Afternoon,0.281,0,Normal
2024-01-01 17:30:00,242.191,1.2,286.562,1.0,Winter,Afternoon,0.353,0,Normal
2024-01-01 18:00:00,204.844,1.47,266.565,0.7492,Winter,Evening,0.305,0,Normal
